Project_ID,Project_Name,Original_Principal_Amount,Cancelled_Amount,Undisbursed_Amount,Disbursed_Amount,Repaid_to_IBRD,Due_to_IBRD,Exchange_Adjustment,Borrower_Obligation,Sold_3rd_Party,Repaid_3rd_Party,Due_3rd_Party,Loans_Held
P006691,RAILROAD EXTENSION,15900000,0,0,15900000,13914000,1.86E-09,-1.86E-09,0,1986000,1986000,0,1.86E-09
P010006,KARACHI POWER,13800000,23415.24,0,13776584.76,11726984.76,-1.86E-09,1.86E-09,0,2049600,2049600,0,-1.86E-09
P007740,POWER DISTRIBUTION,7100000,0,0,7100000,6346000,-9.31E-10,9.31E-10,0,754000,754000,0,-9.31E-10
P007741,POWER,400000,0,0,400000,400000,0,0,0,0,0,0,0
P007793,HIGHWAY REHABILITATI,5900000,0,0,5900000,4200000,0,0,0,1700000,1700000,0,0
P007179,HIGHWAY,18200000,0,0,18200000,15469000,0,0,0,2731000,2731000,0,0
P010007,KARNAPHULI PAPER MIL,4200000,0,0,4200000,3425000,-4.66E-10,4.66E-10,0,775000,775000,0,-4.66E-10
P010008,KARACHI PORT I,14800000,99246.44,0,14700753.56,14158914.42,-3.73E-09,0.010000004,0.01,541839.14,541839.14,0,-3.73E-09
P007935,HIGHWAY MAINTENANCE,5000000,5112.54,0,4994887.46,3961887.46,-4.66E-10,4.66E-10,0,1033000,1033000,0,-4.66E-10
P004653,RAILWAY II,12000000,0,0,12000000,10895000,1.86E-09,-1.86E-09,0,1105000,1105000,0,1.86E-09
P005324,ELECTRIC POWER,27000000,0,0,27000000,24050075.2,0,0,0,2949924.8,2949924.8,0,0
P007739,AGRICULTURAL CREDIT,1500000,633.41,0,1499366.59,764366.59,1.16E-10,-1.16E-10,0,735000,735000,0,1.16E-10
P004872,POWER,10000000,0,0,10000000,2170000,0,0,0,7830000,7830000,0,0
P008110,THERMAL PROJECT,5500000,0,0,5500000,4846000,9.31E-10,-9.31E-10,0,654000,654000,0,9.31E-10
P037424,YAWATA STEEL I,5300000,171141.9,0,5128858.1,2418858.1,-4.66E-10,4.66E-10,0,2710000,2710000,0,-4.66E-10
P037476,TRANSPORT,25200000,0,0,25200000,21176000,0,0,0,4024000,4024000,0,0
P007331,HIGHWAY MAINTENANCE,4200000,0,0,4200000,3328000,0,0,0,872000,872000,0,0
P037425,INDUSTRIAL PROJECTS,8100000,539555.23,0,7560444.77,3980444.77,0,0.01,0.01,3580000,3580000,0,0
P007032,QUITO POWER PROJECT,5000000,0,0,5000000,4803000,0,0,0,197000,197000,0,0
P037468,TOKKE POWER,25000000,0,0,25000000,15183904.96,-1.86E-09,1.86E-09,0,9816095.04,9816095.04,0,-1.86E-09
P003336,RAILWAY,5350000,3432.92,0,5346567.08,5346567.08,0,0,0,0,0,0,0
P003335,RANGOON PORT,14000000,57516.55,0,13942483.45,13742505.37,0,0.01,0.01,199978.08,199978.08,0,0
P007270,HIGHWAY MAINTENANCE,2600000,0,0,2600000,2214000,-4.66E-10,4.66E-10,0,386000,386000,0,-4.66E-10
P037370,POWER,15000000,0,0,15000000,10993046.25,0,-0.01,-0.01,4006953.75,4006953.75,0,0
P007742,CORINTO PORT,3200000,0,0,3200000,3079000,0,0,0,121000,121000,0,0
P006692,HIGHWAY,16500000,0,0,16500000,16500000,-1.86E-09,1.86E-09,0,0,0,0,-1.86E-09
P003264,POWER II,80000000,0,0,80000000,42554765.5,-7.45E-09,0,-7.45E-09,37445234.5,37445234.5,0,-7.45E-09
P009593,TATA IRON & STEEL CO,75000000,0,0,75000000,68718000,0,0,0,6282000,6282000,0,0
P006895,CAP GOODS IMPORT CRE,3000000,0,0,3000000,2634000,0,0,0,366000,366000,0,0
P037351,POWER,10000000,0,0,10000000,4680191.39,0,-0.01,-0.01,5319808.61,5319808.61,0,0
P037352,POWER,21000000,0,0,21000000,15194229.77,0,0,0,5805770.23,5805770.23,0,0
P037416,GENERAL DEVELOPMENT,74628000,0,0,74628000,15248295.12,5.59E-09,-5.59E-09,0,59379704.88,59379704.88,0,5.59E-09
P004654,PORT II,3400000,140921.89,0,3259078.11,3075078.11,4.66E-10,-4.66E-10,0,184000,184000,0,4.66E-10
P008111,BAYGORRIA POWER PROJ,25500000,36883.97,0,25463116.03,25463116.03,0,0,0,0,0,0,0
P006581,ENDESA EXPANSION PRO,15000000,0,0,15000000,14418013.25,0,0,0,581986.75,581986.75,0,0
P007743,POWER,1600000,0,0,1600000,1499000,0,0,0,101000,101000,0,0
P037347,TRANSPORT,9230000,0,0,9230000,0,0,0,0,9230000,9230000,0,0
P037346,GENERAL DEVELOPMENT,50000000,0,0,50000000,13266000,-7.45E-09,7.45E-09,0,36734000,36734000,0,-7.45E-09
P037426,KAWASAKI STEEL I,20000000,0,0,20000000,10329008.75,0,0,0,9670991.25,9670991.25,0,0
P036382,LAND RECLAMATION,4300000,182076.34,0,4117923.66,3104923.66,1.40E-09,-1.40E-09,0,1013000,1013000,0,1.40E-09
P009594,INDIAN IRON & STEEL,20000000,54723.14,0,19945276.86,18063276.86,0,0,0,1882000,1882000,0,0
P005175,GENERAL DEVELOPMENT,75000000,0,0,75000000,70000000,0,0,0,5000000,5000000,0,0
P009596,AIR INDIA,5600000,0,0,5600000,5600000,0,0,0,0,0,0,0
P007936,AGRICULTURAL CREDIT,5000000,0,0,5000000,3507000,0,0,0,1493000,1493000,0,0
